Initials,row,col,Provinsi
ACE,1,1,Aceh
KUT,2,5,Kalimantan Utara
GOR,2,8,Gorontalo
SUM,2,1,Sumatera Utara
RIA,2,2,Riau
SUT,2,9,Sulawesi Utara
KEP,2,3,Kepulauan Riau
STG,3,8,Sulawesi Tengah
KTI,3,5,Kalimantan Timur
KBA,3,4,Kalimantan Barat
JAM,3,2,Jambi
SBP,3,1,Sumatera Barat
PBD,3,12,Papua Barat Daya
PAP,4,13,Papua
SBR,4,7,Sulawesi Barat
KTG,4,4,Kalimantan Tengah
KSL,4,5,Kalimantan Selatan
BEN,4,1,Bengkulu
BKB,4,2,Kepulauan Bangka Belitung
STG,4,8,Sulawesi Tenggara
MUT,4,10,Maluku Utara
PAB,4,12,Papua Barat
PTG,5,12,Papua Tengah
PPG,5,13,Papua Pegunungan
MAL,5,10,Maluku
SSL,5,7,Sulawesi Selatan
SSE,5,1,Sumatera Selatan
LAM,5,2,Lampung
PSL,6,13,Papua Selatan
BAN,6,3,Banten
JTG,6,5,Jawa Tengah
JKT,6,4,Daerah Khusus Ibukota Jakarta
JTM,6,6,Jawa Timur
JBR,7,4,Jawa Barat
DIY,7,5,Daerah Istimewa Yogyakarta
BAL,7,7,Bali
NTB,7,8,Nusa Tenggara Barat
NTT,7,9,Nusa Tenggara Timur
